epoch,step,train_loss,val_loss
0,437,,1.1280674934387207
0,437,1.6341010332107544,
1,875,,1.0824518203735352
1,875,1.1120307445526123,
2,1313,,1.0566251277923584
2,1313,1.0805349349975586,
3,1751,,1.03909170627594
3,1751,1.0611168146133423,
4,2189,,1.0272599458694458
4,2189,1.0463849306106567,
5,2627,,1.018838882446289
5,2627,1.035353183746338,
6,3065,,1.0138201713562012
6,3065,1.0270453691482544,
7,3503,,1.0103399753570557
7,3503,1.0209583044052124,
8,3941,,1.0080852508544922
8,3941,1.016520380973816,
9,4379,,1.0066486597061157
9,4379,1.0133452415466309,
10,4817,,1.0055363178253174
10,4817,1.0108349323272705,
11,5255,,1.0048260688781738
11,5255,1.0090749263763428,
12,5693,,1.00400710105896
12,5693,1.0076885223388672,
13,6131,,1.003601312637329
13,6131,1.006653904914856,
14,6569,,1.0030783414840698
14,6569,1.005834937095642,
15,7007,,1.00275719165802
15,7007,1.005136251449585,
16,7445,,1.002492904663086
16,7445,1.004593014717102,
17,7883,,1.0022855997085571
17,7883,1.004124641418457,
18,8321,,1.0020476579666138
18,8321,1.0037380456924438,
19,8759,,1.0020389556884766
19,8759,1.0033856630325317,
