epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
0,437,,,,0.21015097200870514,0.2682192921638489,0.058068256825208664
0,437,1.5796315670013428,1.7930693626403809,0.2134374976158142,,,
1,875,,,,0.09960202872753143,0.15012609958648682,0.050524063408374786
1,875,0.13262245059013367,0.18446415662765503,0.05184176564216614,,,
2,1313,,,,0.07196308672428131,0.12215043604373932,0.050187353044748306
2,1313,0.08039388805627823,0.1306748390197754,0.05028102919459343,,,
3,1751,,,,0.05942196398973465,0.10953843593597412,0.05011649802327156
3,1751,0.06302296370267868,0.1131308451294899,0.050107818096876144,,,
4,2189,,,,0.051326628774404526,0.10140570998191833,0.050079088658094406
4,2189,0.05387520045042038,0.10393013060092926,0.050054922699928284,,,
5,2627,,,,0.046041686087846756,0.0961054116487503,0.050063736736774445
5,2627,0.04752574861049652,0.09755802154541016,0.05003233626484871,,,
6,3065,,,,0.041890256106853485,0.09194508194923401,0.05005478858947754
6,3065,0.04297756403684616,0.09299705922603607,0.050019521266222,,,
7,3503,,,,0.03823280334472656,0.0882805734872818,0.05004776269197464
7,3503,0.039379920810461044,0.08939249068498611,0.050012581050395966,,,
8,3941,,,,0.03585714474320412,0.08590181171894073,0.050044652074575424
8,3941,0.03627884387969971,0.08628695458173752,0.05000808462500572,,,
9,4379,,,,0.03323368355631828,0.08327581733465195,0.05004212632775307
9,4379,0.03362159803509712,0.08362641930580139,0.05000481754541397,,,
10,4817,,,,0.03050142526626587,0.08054160326719284,0.05004015937447548
10,4817,0.031197864562273026,0.08120063692331314,0.05000279098749161,,,
11,5255,,,,0.02866784855723381,0.0787067636847496,0.0500388965010643
11,5255,0.029126731678843498,0.07912777364253998,0.050001028925180435,,,
12,5693,,,,0.027039021253585815,0.0770769864320755,0.05003797635436058
12,5693,0.02726370096206665,0.07726360857486725,0.0499999038875103,,,
13,6131,,,,0.025442035868763924,0.07547909766435623,0.050037067383527756
13,6131,0.025625130161643028,0.07562404870986938,0.04999895393848419,,,
14,6569,,,,0.023593241348862648,0.07363001257181168,0.050036780536174774
14,6569,0.02408079244196415,0.07407896965742111,0.0499982126057148,,,
15,7007,,,,0.02241794392466545,0.07245413959026337,0.05003621056675911
15,7007,0.02268841117620468,0.07268628478050232,0.049997832626104355,,,
16,7445,,,,0.021260512992739677,0.07129639387130737,0.05003586784005165
16,7445,0.02139970473945141,0.07139714807271957,0.04999740421772003,,,
17,7883,,,,0.019983459264039993,0.07001922279596329,0.050035759806632996
17,7883,0.020190758630633354,0.07018787413835526,0.049997054040431976,,,
18,8321,,,,0.018895691260695457,0.06893126666545868,0.05003557354211807
18,8321,0.019118819385766983,0.0691157877445221,0.049996983259916306,,,
19,8759,,,,0.01793500781059265,0.0679703950881958,0.05003540590405464
19,8759,0.018054012209177017,0.06805071234703064,0.04999670758843422,,,
